Id,SalePrice
1461,171930.9801
1462,174964.2365
1463,181325.7028
1464,184488.3979
1465,180994.1133
1466,181144.032
1467,176943.921
1468,178613.7015
1469,180992.9774
1470,171392.1042
1471,181562.6137
1472,160229.4737
1473,160121.1636
1474,170322.4531
1475,167889.1079
1476,214697.4671
1477,187062.7718
1478,194811.1491
1479,195748.9351
1480,210767.3481
1481,195165.9377
1482,182268.4789
1483,182740.1548
1484,176561.4779
1485,180505.8066
1486,184298.444
1487,198627.3315
1488,185803.4576
1489,178819.1402
1490,178018.3601
1491,185977.8737
1492,172221.6899
1493,182570.5979
1494,195934.4208
1495,195222.9744
1496,179063.5806
1497,179064.5755
1498,171592.2796
1499,171592.2796
1500,168971.5401
1501,172068.5904
1502,170070.4931
1503,183468.3882
1504,183843.982
1505,180483.4471
1506,193808.1739
1507,196133.8571
1508,190442.8218
1509,184179.4682
1510,177850.4054
1511,175795.5673
1512,177135.4935
1513,181401.352
1514,180580.9973
1515,183222.5983
1516,179139.9781
1517,172186.4636
1518,181372.4497
1519,181422.2641
1520,175070.9526
1521,176354.8963
1522,181175.504
1523,170567.7124
1524,169896.8535
1525,170421.4226
1526,170713.426
1527,170200.0843
1528,170986.6623
1529,176011.6199
1530,180191.6629
1531,170837.7304
1532,168320.2368
1533,171883.9887
1534,171078.1485
1535,171760.3996
1536,170395.3425
1537,160636.8797
1538,170650.7331
1539,181987.4987
1540,175501.3099
1541,173900.285
1542,171995.8567
1543,173819.009
1544,156768.406
1545,164333.4475
1546,170047.9827
1547,166565.815
1548,169110.0099
1549,169202.1704
1550,171266.8627
1551,166053.825
1552,171005.3998
1553,165688.9882
1554,169603.5512
1555,183324.9251
1556,174996.3765
1557,166451.5203
1558,162109.5568
1559,170810.3574
1560,172885.2247
1561,177896.5407
1562,169850.0407
1563,169621.3373
1564,181869.7022
1565,175742.799
1566,186693.1892
1567,162942.4424
1568,186627.2074
1569,171563.7326
1570,169913.8519
1571,171112.1789
1572,177092.0973
1573,181554.0812
1574,174305.6647
1575,181745.1452
1576,185346.2612
1577,180312.3991
1578,177734.1207
1579,172580.9847
1580,184671.5824
1581,169759.0518
1582,171054.9877
1583,191896.3933
1584,185678.5663
1585,171276.5286
1586,159429.961
1587,163101.4713
1588,174084.7343
1589,167288.5894
1590,172818.1935
1591,168128.3524
1592,171195.0519
1593,169163.419
1594,179878.2294
1595,171383.8056
1596,185087.7403
1597,187503.4874
1598,183051.3737
1599,176411.3855
1600,177086.6116
1601,152770.6015
1602,170177.0754
1603,164601.9713
1604,189937.5826
1605,189426.4855
1606,177396.2679
1607,194390.4003
1608,184521.6352
1609,180438.9513
1610,174619.1651
1611,177049.9823
1612,182091.3612
1613,179050.1508
1614,167933.9691
1615,158833.7593
1616,158833.7593
1617,159078.9989
1618,170061.5661
1619,170126.3096
1620,191121.5373
1621,173540.6128
1622,180161.4449
1623,187008.6588
1624,184631.4591
1625,168092.6201
1626,180923.7252
1627,182292.8825
1628,189456.1237
1629,179331.801
1630,193624.8726
1631,185847.9234
1632,186669.4899
1633,177024.3567
1634,182506.8683
1635,181570.3546
1636,178854.7795
1637,186827.4541
1638,189768.1885
1639,190656.7258
1640,194502.4003
1641,189629.3125
1642,191474.6828
1643,184692.6516
1644,183419.2332
1645,185322.4085
1646,179240.433
1647,181504.722
1648,176763.8242
1649,170926.3691
1650,169665.0489
1651,169665.0489
1652,160229.4737
1653,160425.9576
1654,171655.9155
1655,173537.1026
1656,173399.9935
1657,170372.9088
1658,177939.57
1659,168779.1189
1660,177248.1532
1661,219498.8161
1662,202452.4988
1663,214534.2173
1664,215114.7348
1665,209501.6367
1666,191469.5023
1667,197436.3191
1668,210242.3388
1669,191687.6168
1670,212003.0931
1671,187177.4852
1672,200834.2032
1673,190391.0424
1674,188173.1991
1675,179258.7628
1676,179913.3246
1677,180722.6281
1678,216605.8328
1679,199161.6556
1680,208741.8829
1681,197212.6486
1682,189011.8907
1683,181297.6075
1684,182268.9987
1685,181417.1266
1686,177000.6921
1687,180394.526
1688,183536.599
1689,184135.5004
1690,182610.3263
1691,181259.7134
1692,186573.9713
1693,180505.8066
1694,179442.2278
1695,177794.1514
1696,191654.1246
1697,177764.0593
1698,199116.5165
1699,196557.4609
1700,190502.5715
1701,196095.6451
1702,185811.7603
1703,187299.781
1704,185939.6218
1705,178519.5513
1706,205402.0307
1707,178377.3438
1708,178952.5705
1709,186539.7221
1710,182472.9677
1711,181986.8221
1712,185693.8697
1713,193978.3327
1714,180962.348
1715,181004.1725
1716,179602.6815
1717,178227.6197
1718,174964.6694
1719,186612.6029
1720,188662.7817
1721,176763.2847
1722,174558.6921
1723,174289.0513
1724,186197.3499
1725,190700.3272
1726,185113.8017
1727,182535.8584
1728,184613.5824
1729,177614.2256
